# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
        39       3.961152      18.019313
        40      -0.052242      21.873390
        41      -3.508184      25.153120
        42       2.284034      19.692103
        43       4.827878      17.250426
        44      -3.003885      24.752003
        45      -0.843225      22.662856
        46       3.204075      18.847967
        47      -1.504273      23.330622
        48      -4.081497      25.862529
        49       3.188599      18.960494
        50       1.515839      20.578033
        51      -5.329975      27.114859
        52       0.415925      21.601589
        53       3.555982      18.655450
        54      -0.492997      22.449076
        55      -0.288033      22.309793
        56       7.311097      15.030183
        57       2.293999      19.864813
        58      -0.740650      22.711887
        59       4.582544      17.714464
        60       5.948757      16.390866
        61      -1.996095      24.007286
        62       1.831523      20.286666
        63       4.558488      17.759795
        64       1.604683      20.429938
        65      -1.038285      22.939625
