# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
        49     0.305629
        50     0.301029
        51     0.296044
# Cycle: 38, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.297194
         1     0.300375
         2     0.303526
         3     0.305368
         4     0.308702
         5     0.309293
         6     0.311650
         7     0.312854
         8     0.313185
         9     0.313872
        10     0.313615
        11     0.312264
        12     0.311485
        13     0.309739
        14     0.307093
        15     0.305273
        16     0.301747
        17     0.298192
# Cycle: 39, status: NCR, move: ('s+', 0.36338037204268475, 30, 21)
#     Time       Orderp
         0     0.298901
         1     0.304230
         2     0.310391
         3     0.315136
         4     0.319717
         5     0.324644
         6     0.328293
         7     0.332145
         8     0.336158
         9     0.338997
        10     0.342053
        11     0.345684
        12     0.347032
        13     0.350499
        14     0.352413
        15     0.354067
        16     0.356473
        17     0.358300
        18     0.359135
        19     0.361707
        20     0.362537
        21     0.363380
        22     0.365482
        23     0.365182
        24     0.366281
        25     0.366452
        26     0.366273
        27     0.365379
        28     0.365526
        29     0.363008
        30     0.362830
        31     0.360231
        32     0.358970
        33     0.356434
        34     0.355145
        35     0.351999
        36     0.351262
        37     0.348264
        38     0.347144
        39     0.345032
        40     0.343264
        41     0.340545
        42     0.338587
        43     0.334250
        44     0.330691
        45     0.326417
        46     0.320732
        47     0.316537
        48     0.311143
        49     0.305629
        50     0.301029
        51     0.296044
# Cycle: 40, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.297998
         1     0.300241
         2     0.301458
         3     0.303919
         4     0.306137
         5     0.307724
         6     0.309812
         7     0.311690
         8     0.313251
         9     0.315229
        10     0.315918
        11     0.316579
        12     0.316566
        13     0.315285
        14     0.313838
        15     0.311547
        16     0.308738
        17     0.305658
        18     0.302071
        19     0.299750
# Cycle: 41, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.297194
         1     0.300375
         2     0.303526
         3     0.305368
         4     0.308702
         5     0.309293
         6     0.311650
         7     0.312854
         8     0.313185
         9     0.313872
        10     0.313615
        11     0.312264
        12     0.311485
        13     0.309739
        14     0.307093
        15     0.305273
        16     0.301747
        17     0.298192
# Cycle: 42, status: NCR, move: ('s+', 0.36338037204268475, 30, 21)
#     Time       Orderp
         0     0.298901
         1     0.304230
         2     0.310391
         3     0.315136
         4     0.319717
         5     0.324644
         6     0.328293
         7     0.332145
         8     0.336158
         9     0.338997
        10     0.342053
        11     0.345684
        12     0.347032
        13     0.350499
        14     0.352413
        15     0.354067
        16     0.356473
        17     0.358300
        18     0.359135
        19     0.361707
        20     0.362537
        21     0.363380
        22     0.365482
        23     0.365182
        24     0.366281
        25     0.366452
        26     0.366273
        27     0.365379
        28     0.365526
        29     0.363008
        30     0.362830
        31     0.360231
        32     0.358970
        33     0.356434
        34     0.355145
        35     0.351999
        36     0.351262
        37     0.348264
        38     0.347144
        39     0.345032
        40     0.343264
        41     0.340545
        42     0.338587
        43     0.334250
        44     0.330691
        45     0.326417
        46     0.320732
        47     0.316537
        48     0.311143
        49     0.305629
        50     0.301029
        51     0.296044
# Cycle: 43, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.297998
         1     0.300241
         2     0.301458
         3     0.303919
         4     0.306137
         5     0.307724
         6     0.309812
         7     0.311690
         8     0.313251
         9     0.315229
        10     0.315918
        11     0.316579
        12     0.316566
        13     0.315285
        14     0.313838
        15     0.311547
        16     0.308738
        17     0.305658
        18     0.302071
        19     0.299750
# Cycle: 44, status: NCR, move: ('s+', 0.36338037204268475, 30, 21)
#     Time       Orderp
         0     0.298901
         1     0.304230
         2     0.310391
         3     0.315136
         4     0.319717
         5     0.324644
         6     0.328293
         7     0.332145
         8     0.336158
         9     0.338997
        10     0.342053
        11     0.345684
        12     0.347032
        13     0.350499
        14     0.352413
        15     0.354067
        16     0.356473
        17     0.358300
        18     0.359135
        19     0.361707
        20     0.362537
        21     0.363380
        22     0.365482
        23     0.365182
        24     0.366281
        25     0.366452
        26     0.366273
        27     0.365379
        28     0.365526
        29     0.363008
        30     0.362830
        31     0.360231
        32     0.358970
        33     0.356434
        34     0.355145
        35     0.351999
        36     0.351262
        37     0.348264
        38     0.347144
        39     0.345032
        40     0.343264
        41     0.340545
        42     0.338587
        43     0.334250
        44     0.330691
        45     0.326417
        46     0.320732
        47     0.316537
        48     0.311143
        49     0.305629
        50     0.301029
        51     0.296044
# Cycle: 45, status: NCR, move: ('s+', 0.36338037204268475, 30, 21)
#     Time       Orderp
         0     0.298901
         1     0.304230
         2     0.310391
         3     0.315136
         4     0.319717
         5     0.324644
         6     0.328293
         7     0.332145
         8     0.336158
         9     0.338997
        10     0.342053
        11     0.345684
        12     0.347032
        13     0.350499
        14     0.352413
        15     0.354067
        16     0.356473
        17     0.358300
        18     0.359135
        19     0.361707
        20     0.362537
        21     0.363380
        22     0.365482
        23     0.365182
        24     0.366281
        25     0.366452
        26     0.366273
        27     0.365379
        28     0.365526
        29     0.363008
        30     0.362830
        31     0.360231
        32     0.358970
        33     0.356434
        34     0.355145
        35     0.351999
        36     0.351262
        37     0.348264
        38     0.347144
        39     0.345032
        40     0.343264
        41     0.340545
        42     0.338587
        43     0.334250
        44     0.330691
